PLAYER,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI
Miroslav Raduljica,Mil,C,26,12,8.4,16.7,18,0.127,10,0.8,30,0.567,0,0,0.61,3.5,2,13.6,0.7,15.3,0,0.33,8.1
Anthony Randolph,Den,PF,24,8,13.3,27.7,19.4,0.21,15,0.8,23,0.435,8,0.25,0.505,4.8,3.5,13.9,0.6,6.9,0.75,0.63,6.5
Zach Randolph,Mem,PF,32,23,32.3,66.7,26.6,0.138,105,0.762,316,0.456,6,0,0.5,16,9.6,17.6,2.3,12.5,0.65,0.13,8.8
J.J. Redick,Lac,SG,29,17,28,57.9,22.6,0.07,55,0.927,108,0.546,92,0.359,0.598,15.8,2.2,4.5,2.1,12.6,0.88,0.18,6
Glen Rice,Was,SG,23,11,9.7,19.1,20.8,0.183,7,0.714,20,0.3,17,0.294,0.399,2.9,1.8,10.9,0.6,10.1,0.55,0.09,6
Luke Ridnour,Mil,PG,32,15,19.9,40,17.4,0.168,11,0.545,69,0.362,20,0.3,0.394,4.9,1.7,4.8,3.2,27.5,0.93,0.07,6
Austin Rivers,Nor,SG,21,17,11.7,23.8,19.3,0.103,32,0.625,50,0.36,14,0.357,0.455,4.2,1.1,5.1,1,12.6,0.47,0.06,5.7
Andre Roberson,Okc,PF,22,10,9.2,18.8,9.8,0.337,4,0.75,8,0.625,4,0.25,0.581,1.6,2.3,13.5,0.2,2.9,0.3,0.2,3.9
Brian Roberts,Nor,PG,28,19,14.5,29.5,17.8,0.09,16,1,58,0.414,36,0.361,0.51,5.4,1.1,4.3,2.3,23.7,0.32,0.05,6.6
Nate Robinson,Den,PG,29,24,20.7,43.2,24.7,0.102,51,0.843,150,0.427,82,0.378,0.519,11,2.1,5.3,2.6,20.7,0.83,0.13,7.6
Thomas Robinson,Por,PF,22,27,11,22.7,23.7,0.105,44,0.636,125,0.448,0,0,0.485,5.2,3.6,17.7,0.4,5.3,0.26,0.15,7.1
Derrick Rose,Chi,PG,25,10,31,61.9,31,0.16,32,0.844,117,0.359,47,0.34,0.446,15.9,3.2,5.8,4.3,26.9,0.5,0.1,7.8
Terrence Ross,Tor,SG,22,23,20.7,42.4,17.8,0.111,22,0.773,80,0.463,79,0.354,0.519,7.6,2.9,8,0.7,5.9,0.52,0.26,4.8
Ricky Rubio,Min,PG,23,26,32.1,66.6,17,0.228,78,0.846,175,0.349,52,0.365,0.469,9.4,4.5,7.4,7.9,35.6,2.85,0.15,8.6
Brandon Rush,Uta,SG,28,9,13.2,26.9,10.4,0.292,1,1,11,0.273,8,0.5,0.489,2.1,1,4.3,1,11.2,0.11,0.33,3.9
Robert Sacre,Lal,C,24,12,12.7,26.5,15,0.077,18,0.667,40,0.5,0,0,0.543,4.3,2.8,11.9,0.8,10.1,0.33,1.17,6.7
John Salmons,Sac,SF,34,18,24.6,50.7,13.5,0.104,7,1,75,0.333,42,0.381,0.437,5.8,2.6,6,2.4,15,0.67,0.44,5.4
John Salmons,Tor,G,34,3,23.8,43.5,13,0.048,4,0.75,12,0.25,6,0.667,0.531,7,2.7,6.5,1.7,11,0.67,0.33,5.3
Larry Sanders,Mil,C,25,3,17.3,30.7,16.9,0.158,0,0,16,0.25,0,0,0.25,2.7,3.7,12.1,0.7,6.3,0,2,4.4
Dennis Schroeder,Atl,PG,20,11,13.7,28.4,20.5,0.264,12,0.667,36,0.417,9,0.111,0.408,3.7,1.1,4.6,2.5,26,0.36,0,6.3
Luis Scola,Ind,PF,33,25,18.3,37.9,24,0.175,42,0.714,176,0.534,3,0,0.552,8.7,4.4,13.8,0.7,6.9,0.4,0.24,6.5
Mike Scott,Atl,PF,25,24,13.2,27.4,24,0.113,36,0.778,98,0.531,35,0.314,0.554,6.9,2.8,12.3,0.7,9,0.25,0.08,7.2
Thabo Sefolosha,Okc,SG,29,20,26.1,53.9,12.1,0.151,18,0.889,75,0.493,41,0.268,0.496,6.2,4.2,8.5,1.3,7,1.35,0.35,5
Kevin Seraphin,Was,C,24,19,8.7,17.6,25.7,0.158,13,0.923,74,0.459,0,0,0.502,4.2,1.8,11.8,0.3,5.4,0.05,0.37,6
Ramon Sessions,Cha,PG,27,26,21.6,44.7,25.9,0.144,126,0.762,186,0.435,33,0.212,0.508,10.7,2.1,5.4,2.9,24.8,0.58,0.15,7.5
Tornike Shengelia,Bro,SF,22,11,10.1,20.7,14.7,0.282,8,0.375,16,0.563,6,0,0.411,1.9,1.2,6.8,0.8,12.5,0.18,0,4.8
Iman Shumpert,Nyk,SG,23,25,28.2,58,12.9,0.138,31,0.839,87,0.391,68,0.324,0.474,6.4,4.6,9.9,2.1,11.2,1.28,0.2,5.6
Alexey Shved,Min,SG,25,23,9.6,20,17.7,0.138,27,0.741,37,0.324,32,0.219,0.402,2.8,1.2,6.8,0.9,13.5,0.3,0.22,6
Henry Sims,Cle,C,23,6,5.7,11.3,17.8,0.218,4,0.5,9,0.444,0,0,0.465,1.7,2.8,27.7,0.2,4.6,0,0.33,6.9
Kyle Singler,Det,SF,25,27,22.3,46,14.2,0.091,66,0.833,88,0.568,62,0.323,0.6,8,3.1,7.9,0.6,3.7,0.41,0.44,4.4
Chris Singleton,Was,SF,24,7,15.4,29.4,18,0.186,9,0.778,19,0.316,12,0.417,0.486,4.9,3.6,13.4,0.3,2.8,0.71,0.29,4.5
Peyton Siva,Det,SG,23,13,5.6,11.5,12.4,0.619,0,0,6,0.333,2,0,0.25,0.3,0.6,6.2,0.6,14.3,0.23,0.08,3.4
Donald Sloan,Ind,SG,26,10,8.4,17.2,16,0.138,7,0.714,11,0.636,11,0.273,0.558,2.8,1.6,10.9,1.2,23,0.5,0,8.3
Greg Smith,Hou,C,23,6,8.3,16.4,17.2,0.206,1,0,15,0.733,0,0,0.712,3.7,3.3,22.4,0,0,0,0.17,0
Ishmael Smith,Pho,PG,25,13,11.8,24.4,17.9,0.196,3,1,39,0.359,9,0.111,0.345,2.6,1.2,5.6,2,24.6,0.77,0.23,6.2
J.R. Smith,Nyk,SF,28,20,31,63.5,21,0.111,31,0.645,106,0.33,128,0.336,0.442,11,4.2,8.1,2.6,13.4,1,0.1,6.4
